,epoch,batchNum,Train loss,AccPBatch
0,1.0,0.0,-0.008620903044066834,0.53125
1,1.0,1.0,-818.9064641419028,0.53125
2,1.0,2.0,-2871.3769559517054,0.453125
3,1.0,3.0,-6361.617904137955,0.484375
4,1.0,4.0,-11731.734391247332,0.4609375
5,1.0,5.0,-19228.852630378085,0.4765625
6,1.0,6.0,-29245.490657115384,0.3984375
7,1.0,7.0,-41912.24555172984,0.4296875
8,1.0,8.0,-57204.66955281062,0.3984375
9,1.0,9.0,-76012.07303793255,0.484375
10,1.0,10.0,-98259.82973202206,0.4296875
11,1.0,11.0,-124251.77247804415,0.46875
12,1.0,12.0,-153727.6153012519,0.4375
13,1.0,13.0,-187506.75373932364,0.4609375
14,1.0,14.0,-225510.94791095384,0.3984375
15,1.0,15.0,-268033.05573166435,0.375
16,1.0,16.0,-314918.0080130068,0.4921875
17,1.0,17.0,-366872.44098134025,0.4453125
18,1.0,18.0,-424052.2109408306,0.46875
19,1.0,19.0,-486418.9912849915,0.46875
20,1.0,20.0,-554177.1241676456,0.4296875
21,1.0,21.0,-627190.6519481641,0.5078125
22,1.0,22.0,-706058.1382327063,0.453125
23,1.0,23.0,-791073.4654243465,0.453125
24,1.0,24.0,-882708.0030541641,0.4921875
25,1.0,25.0,-979867.5703411276,0.3984375
26,1.0,26.0,-1083903.359902555,0.46875
27,1.0,27.0,-1194733.7817500173,0.4453125
28,1.0,28.0,-1312068.2200738653,0.5
29,1.0,29.0,-1435828.577848552,0.5078125
30,1.0,30.0,-1566318.1346817804,0.4296875
31,1.0,31.0,-1703513.451410202,0.3671875
32,1.0,32.0,-1849041.1620487687,0.453125
33,1.0,33.0,-2001463.8006299322,0.421875
34,1.0,34.0,-2161086.2081754203,0.4296875
35,1.0,35.0,-2328996.188127105,0.4453125
36,1.0,36.0,-2504472.92405446,0.4296875
37,1.0,37.0,-2687297.059939866,0.5546875
38,1.0,38.0,-2878087.2967434875,0.609375
39,1.0,39.0,-3076482.344755087,0.5546875
40,1.0,40.0,-3283249.7453938387,0.59375
41,1.0,41.0,-3497458.3226609607,0.484375
42,1.0,42.0,-3719794.4580582175,0.515625
43,1.0,43.0,-3951014.0099958293,0.53125
44,1.0,44.0,-4193339.941660689,0.53125
45,1.0,45.0,-4442484.801437871,0.5703125
46,1.0,46.0,-4699479.645609113,0.5390625
47,1.0,47.0,-4965934.587081192,0.5390625
48,1.0,48.0,-5241550.016511371,0.515625
49,1.0,49.0,-5524317.604423446,0.484375
50,1.0,50.0,-5817655.462327956,0.4765625
51,1.0,51.0,-6116667.988605102,0.4375
52,1.0,52.0,-6426958.957938793,0.53125
53,1.0,53.0,-6750421.558225334,0.546875
54,1.0,54.0,-7076647.884178851,0.59375
55,1.0,55.0,-7407626.551540027,0.4140625
56,1.0,56.0,-7756254.072351085,0.4921875
57,1.0,57.0,-8115072.625771802,0.4921875
58,1.0,58.0,-8482258.63910982,0.4921875
59,1.0,59.0,-8851875.750965746,0.46875
60,1.0,60.0,-9234174.319771882,0.4375
61,1.0,61.0,-9629082.93824897,0.40625
62,1.0,62.0,-10037861.277956469,0.4765625
63,1.0,63.0,-10449050.352410307,0.453125
64,1.0,64.0,-10863045.310247313,0.359375
65,1.0,65.0,-11300489.525950847,0.4296875
66,1.0,66.0,-11749136.742924076,0.5
67,1.0,67.0,-12202025.774481127,0.53125
68,1.0,68.0,-12656218.697001211,0.4453125
69,1.0,69.0,-13130224.016840473,0.5
70,1.0,70.0,-13599223.02140266,0.3984375
71,1.0,71.0,-14091834.086517038,0.453125
72,1.0,72.0,-14590899.595976273,0.4375
73,1.0,73.0,-15104980.406310173,0.4765625
74,1.0,74.0,-15621635.332738431,0.5078125
75,1.0,75.0,-16140720.675179422,0.40625
76,1.0,76.0,-16685987.77510113,0.46875
77,1.0,77.0,-17240469.603312492,0.5
78,2.0,0.0,-17797808.631120604,0.484375
79,2.0,1.0,-18193999.405386984,0.4453125
80,2.0,2.0,-18592039.750850752,0.46875
81,2.0,3.0,-19003657.18721249,0.5234375
82,2.0,4.0,-19420860.58559784,0.546875
83,2.0,5.0,-19825524.821616888,0.3984375
84,2.0,6.0,-20251586.214235924,0.4453125
85,2.0,7.0,-20681764.81399045,0.5
86,2.0,8.0,-21109034.330711097,0.4765625
87,2.0,9.0,-21540425.91876686,0.4375
88,2.0,10.0,-21981139.197415035,0.46875
89,2.0,11.0,-22426656.097632825,0.484375
90,2.0,12.0,-22869396.23814458,0.46875
91,2.0,13.0,-23325973.731152583,0.546875
92,2.0,14.0,-23768588.081101086,0.421875
93,2.0,15.0,-24231892.76375454,0.4765625
94,2.0,16.0,-24689317.4428564,0.3984375
95,2.0,17.0,-25168562.41874986,0.46875
96,2.0,18.0,-25634779.823960267,0.453125
97,2.0,19.0,-26102522.99767291,0.4453125
98,2.0,20.0,-26562784.00066615,0.4375
99,2.0,21.0,-27048328.229254816,0.453125
100,2.0,22.0,-27532463.860680643,0.4921875
101,2.0,23.0,-28011197.89214098,0.4765625
102,2.0,24.0,-28517346.83578631,0.3984375
103,2.0,25.0,-29037125.626643144,0.421875
104,2.0,26.0,-29564508.752669238,0.5234375
105,2.0,27.0,-30076631.41488432,0.4921875
106,2.0,28.0,-30580393.435336728,0.46875
107,2.0,29.0,-31103081.331114013,0.4921875
