,Train loss,Test loss,AccTrain,AccTest
0,-4947005.488992389,-18517018.55762522,0.47285657051282054,1151.0
1,-37283195.137153946,-61513496.33288171,0.5001001602564102,1351.0
2,-82919504.48618443,-107100623.94234267,0.5291466346153846,1348.0
3,-124369648.57393692,-141890516.26335174,0.5424679487179487,1357.0
4,-156963871.16081244,-170989943.571973,0.5422676282051282,1356.0
5,-181035471.33923948,-191248101.53836074,0.5424679487179487,1360.0
6,-198245650.71106634,-205247142.79706278,0.5420673076923077,1349.0
7,-210349171.6033085,-214923187.53628886,0.5416666666666666,1352.0
8,-218775251.46166798,-221934826.3785674,0.5420673076923077,1354.0
9,-224616424.22777978,-227092664.90319374,0.5424679487179487,1349.0
10,-228658302.5750998,-230264153.82108936,0.5417668269230769,1357.0
11,-231455252.36088172,-232538202.52472046,0.5420673076923077,1348.0
12,-233388511.29779658,-234135515.36479476,0.5420673076923077,1346.0
13,-234725096.45953467,-235284804.55563417,0.5422676282051282,1352.0
14,-235651795.03457892,-235912642.14308915,0.5425681089743589,1351.0
15,-236294106.45326492,-236545227.52960643,0.5424679487179487,1344.0
16,-236739319.53364637,-236871832.25141037,0.5422676282051282,1347.0
17,-237048405.38382766,-237180633.87071398,0.5424679487179487,1353.0
18,-237262780.50132254,-237305455.48624828,0.542167467948718,1354.0
19,-237412072.4675447,-237542769.93505907,0.5417668269230769,1349.0
20,-237516971.9254756,-237507711.38787928,0.5423677884615384,1349.0
21,-237588684.26549307,-237591252.30308056,0.5418669871794872,1357.0
22,-237639399.25600594,-237706370.32994625,0.5424679487179487,1345.0
23,-237674079.11423287,-237643913.57390562,0.5420673076923077,1348.0
24,-237699280.48756105,-237682109.10950366,0.5419671474358975,1345.0
25,-237714977.65356177,-237837489.32377008,0.542167467948718,1348.0
26,-237727661.929522,-237711212.93247935,0.5419671474358975,1351.0
27,-237736872.07435957,-237791686.3685204,0.542167467948718,1347.0
28,-237742618.3566873,-237685931.34946874,0.5425681089743589,1357.0
29,-237745787.90355363,-237823892.54740345,0.5419671474358975,1346.0
30,-237748645.35654807,-237708668.35030088,0.5420673076923077,1347.0
31,-237750799.7131797,-237719527.68582007,0.5420673076923077,1352.0
32,-237752162.14952147,-237691190.15404165,0.5424679487179487,1347.0
33,-237753913.2103852,-237686282.04897758,0.5422676282051282,1361.0
34,-237754570.90515867,-237726853.02420565,0.542167467948718,1350.0
35,-237754605.32026488,-237732353.11616114,0.5420673076923077,1348.0
36,-237754753.36710897,-237689525.4730318,0.5424679487179487,1359.0
37,-237755763.67556885,-237686444.32661378,0.5424679487179487,1353.0
38,-237754961.88474298,-237703878.87630147,0.5424679487179487,1341.0
39,-237755251.53371888,-237736443.2291957,0.5422676282051282,1342.0
40,-237755376.47953033,-237723775.35312057,0.5422676282051282,1351.0
41,-237755195.36862707,-237687898.6125939,0.5422676282051282,1352.0
42,-237755345.31248125,-237668509.590669,0.5419671474358975,1351.0
43,-237755253.5004001,-237844609.97237012,0.5418669871794872,1351.0
44,-237755744.75492248,-237760100.03814676,0.5423677884615384,1355.0
45,-237755318.64790985,-237728482.67969355,0.542167467948718,1351.0
46,-237755365.65730673,-237722105.83946222,0.5423677884615384,1348.0
47,-237755929.10825196,-237698932.24704415,0.5423677884615384,1346.0
48,-237755760.44291604,-237726670.5256081,0.5422676282051282,1351.0
49,-237755672.68474436,-237852890.74433053,0.5417668269230769,1353.0
50,-237755020.82319924,-237772405.76553458,0.5423677884615384,1348.0
51,-237755920.72736922,-237657484.08928478,0.5422676282051282,1356.0
52,-237755886.1903639,-237693252.53409928,0.5427684294871795,1350.0
53,-237755726.0881836,-237730495.3487858,0.5423677884615384,1349.0
54,-237755761.98715904,-237672274.02289462,0.5424679487179487,1355.0
55,-237755253.86410776,-237659605.85211563,0.5420673076923077,1352.0
56,-237755989.84866583,-237610040.2916988,0.5424679487179487,1349.0
57,-237755205.03180078,-237738340.55978522,0.542167467948718,1345.0
58,-237755029.00372803,-237667381.72957602,0.5418669871794872,1348.0
59,-237755303.85417756,-237694933.4464416,0.542167467948718,1352.0
