,epoch,batchNum,Train loss,AccPBatch
0,1.0,0.0,-0.11355142600324158,0.4765625
1,1.0,1.0,-4366.052157735597,0.453125
2,1.0,2.0,-14344.78044379858,0.4375
3,1.0,3.0,-32903.1577456322,0.5859375
4,1.0,4.0,-61073.36724963163,0.390625
5,1.0,5.0,-98904.08083337179,0.453125
6,1.0,6.0,-145448.73390192215,0.4765625
7,1.0,7.0,-206874.47883662954,0.453125
8,1.0,8.0,-280217.38996136124,0.46875
9,1.0,9.0,-373250.60114871326,0.4609375
10,1.0,10.0,-480764.2352578258,0.4765625
11,1.0,11.0,-605622.5229866608,0.4921875
12,1.0,12.0,-748819.0044515315,0.515625
13,1.0,13.0,-914183.7219996854,0.5078125
14,1.0,14.0,-1104706.9660645174,0.390625
15,1.0,15.0,-1309989.2602944067,0.453125
16,1.0,16.0,-1536567.9869960821,0.484375
17,1.0,17.0,-1784316.069827951,0.484375
18,1.0,18.0,-2052590.822520714,0.453125
19,1.0,19.0,-2345489.5083979126,0.4453125
20,1.0,20.0,-2659291.2648517126,0.3984375
21,1.0,21.0,-3007218.558019756,0.453125
22,1.0,22.0,-3384141.066346112,0.390625
23,1.0,23.0,-3786978.0350645203,0.359375
24,1.0,24.0,-4216586.370011492,0.53125
25,1.0,25.0,-4679537.254911232,0.5859375
26,1.0,26.0,-5174706.649841579,0.609375
27,1.0,27.0,-5701785.679547215,0.59375
28,1.0,28.0,-6259864.4715391705,0.59375
29,1.0,29.0,-6841009.892930254,0.5
30,1.0,30.0,-7465663.658219223,0.5234375
31,1.0,31.0,-8115204.712447183,0.46875
32,1.0,32.0,-8804859.00103252,0.515625
33,1.0,33.0,-9535120.71408265,0.5
34,1.0,34.0,-10265401.425405623,0.5703125
35,1.0,35.0,-11091925.720778942,0.4375
36,1.0,36.0,-11906164.703814613,0.453125
37,1.0,37.0,-12809563.017251853,0.4921875
38,1.0,38.0,-13735250.592575034,0.4140625
39,1.0,39.0,-14678745.400059227,0.4609375
40,1.0,40.0,-15694049.290826268,0.4375
41,1.0,41.0,-16745309.408631034,0.5078125
42,1.0,42.0,-17831871.417173203,0.4296875
43,1.0,43.0,-18966519.973215118,0.5
44,1.0,44.0,-20148650.268558536,0.4375
45,1.0,45.0,-21377074.374664865,0.46875
46,1.0,46.0,-22652065.548760004,0.4609375
